ori,ucr_agency_name,city_name,county_fips_code,state_code,state_postal_abbr
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650300,SUNBRIGHT,Sunbright,129,41,TN
TN0650300,SUNBRIGHT,Sunbright,129,41,TN
TN0650300,SUNBRIGHT,Sunbright,129,41,TN
TN0650300,SUNBRIGHT,Sunbright,129,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0660100,UNION CITY,Union City,131,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
TN0070300,CARYVILLE,Caryville,13,41,TN
